i,X1,Y1,X2,Y2,X3,Y3,DC D1 con scaled (V),DC D2 con scaled,DC D3 con scaled,Norm D1X,Norm D1Y,Norm D2X,Norm D2Y,Norm D3X,Norm D3Y,Norm DC1 (V),Norm DC2 (V),Norm DC3 (V),Normalised phase (rad),Ernest new,Ernest new phase (rad),Proj Ernest new, 
0,-1.13E-07,8.27E-08,-3.28E-07,1.67E-07,4.41E-07,-2.49E-07,2.54E-02,8.72E-01,5.98E-01,-3.50E-08,2.56E-08,-9.80E-08,4.98E-08,1.30E-07,-7.35E-08,-1.45E+00,1.12E+00,3.35E-01,2.84E+00,1.58E-07,-5.16E-01,-1.41E-07,
1,-1.53E-07,-3.05E-08,-3.76E-07,-1.75E-07,5.29E-07,2.05E-07,7.65E-03,8.31E-01,6.54E-01,-4.75E-08,-9.44E-09,-1.12E-07,-5.22E-08,1.56E-07,6.04E-08,-1.50E+00,9.97E-01,5.03E-01,2.95E+00,1.83E-07,3.69E-01,-3.81E-08,
2,-5.16E-08,-1.80E-07,-5.04E-08,-5.19E-07,1.02E-07,6.99E-07,8.02E-03,8.32E-01,6.53E-01,-1.60E-08,-5.58E-08,-1.51E-08,-1.55E-07,3.01E-08,2.06E-07,-1.50E+00,1.00E+00,4.98E-01,2.95E+00,2.27E-07,1.43E+00,1.70E-07,
3,8.29E-08,-1.30E-07,2.92E-07,-3.71E-07,-3.75E-07,5.01E-07,8.42E-03,8.33E-01,6.51E-01,2.57E-08,-4.04E-08,8.73E-08,-1.11E-07,-1.11E-07,1.48E-07,-1.50E+00,1.00E+00,4.93E-01,2.95E+00,2.01E-07,2.21E+00,2.01E-07,
4,8.10E-07,-3.58E-07,2.49E-06,-2.35E-07,-3.30E-06,5.92E-07,8.64E-03,8.34E-01,6.50E-01,2.51E-07,-1.11E-07,7.45E-07,-7.01E-08,-9.74E-07,1.75E-07,-1.50E+00,1.01E+00,4.91E-01,2.95E+00,1.08E-06,2.96E+00,7.41E-07,
5,7.61E-07,-6.66E-07,2.22E-06,-1.34E-06,-2.98E-06,2.01E-06,8.59E-03,8.34E-01,6.50E-01,2.36E-07,-2.06E-07,6.64E-07,-4.01E-07,-8.79E-07,5.92E-07,-1.50E+00,1.01E+00,4.92E-01,2.95E+00,1.16E-06,2.55E+00,1.06E-06,
6,4.77E-07,-3.75E-07,9.49E-07,-5.26E-07,-1.43E-06,9.01E-07,8.28E-03,8.33E-01,6.52E-01,1.48E-07,-1.16E-07,2.83E-07,-1.57E-07,-4.20E-07,2.65E-07,-1.50E+00,1.00E+00,4.95E-01,2.95E+00,5.43E-07,2.58E+00,4.94E-07,
7,7.42E-07,4.36E-07,1.70E-06,1.96E-06,-2.44E-06,-2.39E-06,7.71E-03,8.31E-01,6.54E-01,2.30E-07,1.35E-07,5.08E-07,5.84E-07,-7.20E-07,-7.05E-07,-1.50E+00,9.97E-01,5.02E-01,2.95E+00,1.10E-06,-2.37E+00,-2.12E-07,
8,1.07E-06,4.96E-07,2.91E-06,1.82E-06,-3.98E-06,-2.32E-06,6.90E-03,8.28E-01,6.57E-01,3.33E-07,1.53E-07,8.69E-07,5.44E-07,-1.17E-06,-6.83E-07,-1.50E+00,9.89E-01,5.12E-01,2.96E+00,1.49E-06,-2.62E+00,7.84E-08,
9,7.03E-07,4.01E-07,1.41E-06,1.25E-06,-2.11E-06,-1.66E-06,6.00E-03,8.25E-01,6.61E-01,2.18E-07,1.24E-07,4.21E-07,3.75E-07,-6.22E-07,-4.88E-07,-1.50E+00,9.80E-01,5.24E-01,2.97E+00,8.69E-07,-2.48E+00,-7.36E-08,
