,RMS CH1,Response Phase CH1,RMS CH2,Response Phase CH2,RMS CH3,Response Phase CH3,DC CH1,DC CH2,DC CH3
0,1.2741032442372465e-05,2.526305011703737,1.2653146652056026e-05,-2.586503426291419,2.5194466993810863e-05,-0.44799074590994775,0.373488679326177,3.030644360804084,1.4003266853793908
0,1.2003814766960873e-05,1.7873484794184222,2.4122356938806565e-06,1.8273817645738744,2.101335679396656e-05,-1.5534129460177784,0.41292684030702537,3.0593598926315333,1.3334551801604841
0,1.2283708560351073e-05,2.6510079373506596,1.0214030732615753e-05,2.567516425963497,2.052106631306586e-05,-0.36985095403320467,0.44307513775984175,3.0778861969011113,1.285550207399877
0,2.2563651997229156e-05,2.632049812224044,9.410533308053363e-06,1.5559837677005381,3.4586593669516627e-05,-0.6475846610754827,0.4640386796646064,3.0893175449896417,1.2537031550876083
0,1.9093536424723182e-05,1.6483371119986354,1.2716275933745943e-05,0.49523547945370755,2.5576551882374585e-05,-1.6611509947889043,0.4797192303607935,3.0971010097006797,1.230556108278818
0,2.0558960365387077e-05,-3.1182570778684866,7.545028930695372e-06,-2.287218521036167,3.10460407576968e-05,0.06087632196213872,0.49466203305777623,3.104134996082292,1.2090722008985668
0,2.9696758236248983e-05,2.0410092880126407,3.3954400511806216e-05,1.910215790713986,4.8015412214626515e-05,-1.1613121244919071,0.5016569670156404,3.1071551287649832,1.1989315720953853
0,6.540749711840404e-06,1.18029849794176,5.5146016429513064e-06,-1.5442608394857311,4.878855497908457e-06,-2.6445811057523283,0.49794957969050657,3.105282651626127,1.203976295405244
0,1.8039765080241576e-05,2.619591300696303,2.1601765209510314e-05,-2.3921659296023283,2.967661927999955e-05,-0.2953089250765147,0.48218750475090355,3.097833650208218,1.2264584110139587
0,1.2720428253480038e-05,1.9288582680777902,2.2280675512896915e-05,-2.8293008613852413,1.981633317156743e-05,-0.8458672713045083,0.4494813694159879,3.080830134183972,1.275140480978199
0,1.2290290892614676e-05,2.468807430517138,1.76562081038979e-05,2.7163172714433905,2.2754132415179258e-05,-0.5697277151602107,0.4012885873921311,3.0505163119591505,1.3520024592278093
0,1.1386414542742122e-05,2.030366830551243,2.4034628899969656e-05,2.5338121953872665,2.4576171650418356e-05,-0.944586774292308,0.3464234945899903,3.00671482425727,1.4488669169272812
0,1.91923159183242e-05,2.3895347158889826,2.6775400163405677e-05,1.7699361663870163,3.83384439606875e-05,-0.8543064313316935,0.29618240168562876,2.954573830629676,1.5492197409744641
0,1.2152868731554128e-05,1.6910729150592572,2.1768513544097542e-05,1.8398603285745236,3.076225102771538e-05,-1.530172748966616,0.25951913651825476,2.905878917392762,1.6328761241533924
0,9.149757252419451e-06,2.3911699018686305,5.414386524440274e-06,2.8512884621392574,2.218360329725661e-05,-0.47747572789439763,0.2381028964082685,2.8713465283429565,1.6874907189410797
0,1.0112961161576825e-05,-3.023685506567156,3.2499539784153805e-05,2.1956670650641756,3.2065141472739474e-05,-0.5800407785511517,0.22668557624565802,2.850315973727763,1.7190253069840629
0,7.71669039127628e-06,1.7385813346575347,1.1894624239324521e-05,2.2657783409595904,1.4933176590104145e-05,-1.2847228812009732,0.22023613337182854,2.8373892958636135,1.737688219682385
0,3.959274667063373e-06,2.920807565080311,4.237607725048627e-05,2.3108631051527335,3.5394132859323295e-05,-0.6479485313755327,0.2144760067117352,2.8250935688574264,1.7552694263410888
0,1.1047834975789635e-05,2.1360027257701897,1.0559712731441853e-05,0.5816176326636052,2.2637669868922854e-05,-1.4123939486357449,0.2069432920462422,2.808170188555359,1.7793364605284885
0,3.859944939394745e-06,2.7950369159464894,2.2227621102260585e-05,2.365045727547103,2.071512678399858e-05,-0.3466499484629601,0.19944465098949,2.789870435797148,1.8045583319075114
0,8.999836487138524e-06,2.4584289665273436,2.888092777980447e-05,2.178878486154017,3.9121436601848046e-05,-0.9042082402281911,0.19444681340354378,2.7766087576356235,1.8224955093716608
0,7.096705741845418e-06,2.203643147054576,2.4693101709131808e-05,2.251586687944449,2.5485005796315377e-05,-0.8122097590805376,0.19251829085387143,2.771358628793895,1.829668103206027
0,4.389476663865752e-06,-2.92236976502451,3.8413081772527856e-05,2.1783751967899487,3.2055358483719615e-05,-0.6931049398084922,0.19563169335940667,2.779959921668848,1.8182668853440136
0,5.689461065315152e-06,1.297291261625437,2.245182017184914e-05,1.3813950226721987,2.490518309493459e-05,-1.9240973551114422,0.20500546816654056,2.8037985780662322,1.7857964342044683
0,8.935710955080081e-06,1.8493369244051887,1.6802020505389378e-05,2.993090781120828,2.143731051661971e-05,-0.8042033172205781,0.22061536823533734,2.838153149442671,1.7368474133432121
0,1.4149418797237377e-05,2.3685452185161404,2.211813616371144e-05,2.019252664780038,3.9541863671593654e-05,-0.9645681981446034,0.23901047470650155,2.872859047654196,1.6848215274283813
0,1.6453183751852736e-06,2.4527228675693156,1.2251849783362225e-05,-1.22550304423107,6.855588033255616e-06,1.4027183169245485,0.2536294538426824,2.8969293477482925,1.6467787667948046
0,2.3740640326253348e-05,2.5149828350765144,2.4346356368162187e-05,2.8256679827750233,5.4029163463031455e-05,-0.6480349671912471,0.2668745514085355,2.9166705632995242,1.6144295536650979
0,1.9987551013386242e-05,2.180152478177892,1.6825672514987532e-05,-0.19232870240592914,2.7754499868500452e-05,-1.2515533213505574,0.281582362178522,2.93661319582765,1.5803310861669342
0,1.375185743638414e-05,2.2201764133706736,1.9718417335931604e-05,-1.400968295934617,1.448711348258494e-05,-0.5292679032325708,0.2940965629264337,2.9522617755799216,1.5526382099664189
0,7.806524390539832e-06,2.860781033224522,9.053250270211401e-06,3.0026129406048314,1.7230758582856266e-05,-0.2602274345620017,0.3022725315678187,2.961961423798704,1.5350409030511165
