Demodulated Signal 1,Demodulated Signal 2,Demodulated Signal 3,Interferometric Phase,PTI Signal,Response Phase 1,Response Phase 2,Response Phase 3,Root Mean Square 1,Root Mean Square 2,Root Mean Square 3
8.8157e-07,1.11903e-06,-2.0006e-06,2.57773,-1.39055e-06,2.78427,2.78136,-0.358945,1.05689e-06,1.33901e-06,2.39591e-06
9.71478e-07,6.78443e-07,-1.64993e-06,2.53106,-1.15191e-06,1.93221,1.32734,-1.51909,1.00738e-06,1.05547e-06,1.96928e-06
1.20667e-06,5.66979e-07,-1.77364e-06,2.49772,-1.2439e-06,2.57629,3.02144,-0.392107,1.29744e-06,8.32363e-07,2.0798e-06
1.89137e-06,1.33757e-06,-3.22894e-06,2.47556,-2.27277e-06,2.5859,2.32071,-0.660973,2.0415e-06,1.34738e-06,3.36038e-06
1.49604e-06,3.74465e-07,-1.8705e-06,2.45951,-1.32049e-06,1.54157,1.19515,-1.69281,1.89144e-06,6.98349e-07,2.55931e-06
9.7696e-07,6.04909e-07,-1.58187e-06,2.44451,-1.12008e-06,-3.04967,-3.07443,0.0826873,1.90885e-06,1.1351e-06,3.04373e-06
3.34693e-06,1.50694e-06,-4.85386e-06,2.43761,-3.4419e-06,2.03432,1.87905,-1.15673,3.3934e-06,1.58803e-06,4.9684e-06
3.31285e-07,-3.98911e-07,6.76271e-08,2.44137,4.79161e-08,1.22787,-1.02715,-2.6611,5.8786e-07,4.00376e-07,4.56448e-07
1.36319e-06,8.7485e-07,-2.23804e-06,2.45718,-1.58066e-06,2.85742,2.98831,-0.229373,1.72213e-06,1.24085e-06,2.9568e-06
1.20582e-06,7.49575e-07,-1.95539e-06,2.49113,-1.37277e-06,2.31699,2.56945,-0.72417,1.21412e-06,8.03813e-07,2.00254e-06
1.37945e-06,8.46036e-07,-2.22549e-06,2.54478,-1.55136e-06,2.51503,2.69073,-0.556678,1.45085e-06,9.59237e-07,2.40118e-06
1.46265e-06,1.22573e-06,-2.68837e-06,2.61232,-1.8651e-06,2.21723,2.29671,-0.888031,1.46287e-06,1.23148e-06,2.69223e-06
2.07906e-06,1.88702e-06,-3.96607e-06,2.68255,-2.75118e-06,2.17104,2.23906,-0.938186,2.07993e-06,1.88846e-06,3.96609e-06
1.28713e-06,1.47326e-06,-2.76039e-06,2.74137,-1.92192e-06,1.86697,1.5455,-1.46029,1.36196e-06,1.85701e-06,3.17847e-06
6.21852e-07,1.11089e-06,-1.73274e-06,2.78008,-1.21167e-06,2.14569,2.84864,-0.505102,6.2277e-07,1.39401e-06,1.91201e-06
8.13005e-07,2.48159e-06,-3.2946e-06,2.80257,-2.31126e-06,2.95841,2.30977,-0.634783,1.11995e-06,2.49661e-06,3.45599e-06
8.97575e-07,7.06131e-07,-1.60371e-06,2.81599,-1.12749e-06,1.94093,1.97467,-1.18588,9.28562e-07,7.24445e-07,1.65278e-06
7.88353e-07,3.06737e-06,-3.85573e-06,2.82855,-2.71674e-06,2.3699,2.44992,-0.707806,7.9987e-07,3.16572e-06,3.96356e-06
6.77449e-07,9.30745e-07,-1.60819e-06,2.84569,-1.13683e-06,2.0357,1.40462,-1.52515,6.86697e-07,1.32961e-06,1.92711e-06
6.76821e-07,1.39682e-06,-2.07364e-06,2.86379,-1.47139e-06,2.13996,2.79546,-0.52982,6.78043e-07,1.68721e-06,2.26278e-06
8.01636e-07,3.03962e-06,-3.84126e-06,2.87663,-2.73352e-06,2.49363,2.17721,-0.896555,8.37481e-07,3.04041e-06,3.84515e-06
1.00105e-06,1.82102e-06,-2.82206e-06,2.88173,-2.01064e-06,2.11798,2.3816,-0.852501,1.00442e-06,1.85146e-06,2.8333e-06
5.80509e-07,2.93285e-06,-3.51336e-06,2.87351,-2.49839e-06,2.52511,2.33591,-0.773352,6.126e-07,2.96014e-06,3.56367e-06
5.78537e-07,1.03478e-06,-1.61332e-06,2.85021,-1.14149e-06,1.5391,1.19906,-1.84911,7.32845e-07,1.91799e-06,2.6203e-06
7.9355e-07,1.28593e-06,-2.07948e-06,2.81526,-1.4618e-06,2.14584,2.63323,-0.682231,7.94715e-07,1.41683e-06,2.15144e-06
1.23173e-06,2.57627e-06,-3.808e-06,2.77832,-2.66223e-06,2.37445,2.08158,-0.965072,1.25072e-06,2.59444e-06,3.80905e-06
-6.36502e-08,-6.10062e-07,6.73713e-07,2.75148,4.69535e-07,-0.887118,-1.58223,1.60973,6.37447e-08,7.60947e-07,8.1093e-07
1.87013e-06,2.97401e-06,-4.84414e-06,2.72869,-3.36905e-06,2.68661,2.46433,-0.586846,2.11571e-06,3.08102e-06,5.16579e-06
1.24898e-06,7.93239e-07,-2.04222e-06,2.70477,-1.41804e-06,2.06877,1.43019,-1.37043,1.25981e-06,1.10472e-06,2.24555e-06
7.00947e-07,9.98951e-08,-8.0084e-07,2.68537,-5.55581e-07,2.4225,-2.70012,-0.234407,7.18663e-07,5.35255e-07,1.05347e-06
5.80674e-07,7.28571e-07,-1.30924e-06,2.67307,-9.07949e-07,2.9084,2.8906,-0.243031,7.64645e-07,9.45136e-07,1.70971e-06
1.38055e-06,1.25216e-06,-2.63271e-06,2.66675,-1.82552e-06,2.56926,2.46103,-0.622855,1.48034e-06,1.29606e-06,2.77235e-06
1.49849e-06,1.77007e-06,-3.26855e-06,2.66724,-2.26644e-06,2.44965,2.13964,-0.857627,1.54643e-06,1.7733e-06,3.28011e-06
1.73478e-06,1.86498e-06,-3.59976e-06,2.67773,-2.49671e-06,2.15222,1.89954,-1.12314,1.73676e-06,1.95245e-06,3.65991e-06
1.50117e-06,1.58797e-06,-3.08915e-06,2.69145,-2.1436e-06,2.52732,2.74131,-0.49892,1.58534e-06,1.85287e-06,3.41868e-06
1.41107e-06,2.42959e-06,-3.84066e-06,2.69804,-2.66588e-06,2.71181,2.6302,-0.480623,1.61846e-06,2.67316e-06,4.28826e-06
1.24318e-06,1.14089e-06,-2.38407e-06,2.69187,-1.65437e-06,1.91071,1.50248,-1.44922,1.29708e-06,1.48856e-06,2.72809e-06
9.82487e-07,1.51086e-06,-2.49335e-06,2.67803,-1.72934e-06,2.30135,2.75672,-0.546336,9.87554e-07,1.77958e-06,2.70165e-06
1.62953e-06,1.74904e-06,-3.37856e-06,2.6625,-2.34254e-06,2.11305,1.92252,-1.12887,1.63571e-06,1.8186e-06,3.43868e-06
1.09378e-06,1.80741e-07,-1.27453e-06,2.64704,-8.83621e-07,2.34896,2.32636,-0.795827,1.10603e-06,1.82194e-07,1.28819e-06
1.5648e-06,2.09031e-06,-3.65511e-06,2.62958,-2.53455e-06,2.5412,2.49925,-0.624241,1.66052e-06,2.18753e-06,3.84722e-06
1.99117e-06,1.51724e-06,-3.50841e-06,2.60957,-2.43427e-06,2.10338,1.84396,-1.15416,2.0005e-06,1.61876e-06,3.5892e-06
1.36924e-06,9.87991e-07,-2.35722e-06,2.58686,-1.63743e-06,2.18319,2.85024,-0.641877,1.36943e-06,1.24129e-06,2.46721e-06
1.55853e-06,1.82942e-06,-3.38795e-06,2.56283,-2.35763e-06,2.57492,2.10919,-0.810488,1.67487e-06,1.83699e-06,3.41728e-06
1.08223e-06,3.09242e-08,-1.11315e-06,2.54056,-7.76317e-07,2.56174,-2.6251,-0.391444,1.15712e-06,2.74946e-07,1.30583e-06
1.07957e-06,1.22983e-06,-2.3094e-06,2.52211,-1.6141e-06,2.94072,2.86673,-0.239118,1.46286e-06,1.56497e-06,3.02576e-06
2.33024e-06,1.01613e-06,-3.34637e-06,2.5066,-2.3438e-06,2.04624,1.60294,-1.24617,2.35806e-06,1.2287e-06,3.50782e-06
5.34271e-07,3.42645e-07,-8.76915e-07,2.49155,-6.15592e-07,3.03435,-2.93138,0.0560599,7.95452e-07,8.4222e-07,1.6171e-06
