i,X1,Y1,X2,Y2,X3,Y3,DC1,DC2,DC3
0,-0.0000000858,0.0000007493,0.0000000295,-0.0000003800,-0.0000001810,0.0000001223,0.3339494614,0.0059972330,0.5560808183
1,-0.0000004768,-0.0000009002,0.0000000593,-0.0000002333,0.0000014225,0.0000004486,0.3326478148,0.0059744513,0.5573967114
2,0.0000001988,0.0000000332,0.0000000338,-0.0000002948,0.0000013350,-0.0000001950,0.3319400022,0.0059609448,0.5580173149
3,-0.0000001672,0.0000007159,0.0000000356,-0.0000002507,0.0000001335,-0.0000006113,0.3316349653,0.0059561009,0.5581596687
4,0.0000011493,-0.0000012339,0.0000000900,-0.0000002900,-0.0000015268,0.0000016415,0.3314815249,0.0059555884,0.5581518071
5,-0.0000008509,-0.0000005725,0.0000000346,-0.0000002686,0.0000002352,0.0000003292,0.3315309006,0.0059539571,0.5579321926
6,-0.0000010338,0.0000022190,0.0000000552,-0.0000002631,0.0000017882,-0.0000034250,0.3317831800,0.0059638136,0.5574317327
7,0.0000012894,-0.0000015657,0.0000001099,-0.0000002575,-0.0000012907,0.0000020295,0.3323105546,0.0059701137,0.5566965536
8,0.0000007151,0.0000001571,0.0000000478,-0.0000002265,-0.0000004618,-0.0000003053,0.3326328127,0.0059806264,0.5561348313
9,0.0000013128,-0.0000010658,0.0000000527,-0.0000002592,-0.0000014216,0.0000014995,0.3322284680,0.0059754388,0.5564673777
10,0.0000013350,-0.0000005698,0.0000000641,-0.0000002437,-0.0000012625,-0.0000001126,0.3315940283,0.0059620010,0.5570526350
11,-0.0000000036,-0.0000006914,0.0000000972,-0.0000002543,0.0000000035,0.0000009729,0.3311553850,0.0059602635,0.5573966301
12,0.0000007837,-0.0000019306,0.0000000001,-0.0000002580,-0.0000007986,0.0000007023,0.3301132001,0.0059441694,0.5584987706
13,0.0000012681,-0.0000012261,0.0000000607,-0.0000001879,-0.0000010112,0.0000007623,0.3293017666,0.0059285629,0.5593615488
14,0.0000009663,-0.0000010702,0.0000000951,-0.0000003042,-0.0000006543,0.0000010848,0.3296224494,0.0059398756,0.5588647447
15,-0.0000013496,-0.0000011826,0.0000000226,-0.0000002835,0.0000015510,0.0000006293,0.3302518572,0.0059427319,0.5579751694
16,0.0000017188,-0.0000012176,0.0000000739,-0.0000003347,-0.0000013749,0.0000010366,0.3308390777,0.0059493383,0.5572399716
17,0.0000002913,-0.0000014876,0.0000001081,-0.0000002678,-0.0000011544,0.0000016383,0.3312061359,0.0059540134,0.5567228134
18,0.0000003995,-0.0000008584,0.0000001382,-0.0000002262,-0.0000002384,0.0000017118,0.3316178254,0.0059679511,0.5562555437
19,-0.0000008294,-0.0000001361,0.0000000588,-0.0000002024,0.0000010903,-0.0000002992,0.3319005529,0.0059678699,0.5558565168
20,-0.0000014224,-0.0000010836,0.0000000123,-0.0000002455,0.0000021403,0.0000003924,0.3322288681,0.0059755200,0.5554265120
21,-0.0000012201,0.0000002185,0.0000000815,-0.0000001960,-0.0000000892,-0.0000007080,0.3328064435,0.0059851390,0.5547459272
22,-0.0000008250,0.0000008142,0.0000000760,-0.0000002236,-0.0000015782,-0.0000005795,0.3332257716,0.0059912078,0.5542455734
23,-0.0000016273,-0.0000013780,0.0000000676,-0.0000002349,0.0000004307,0.0000008877,0.3336080131,0.0059988892,0.5537890339
24,0.0000004192,0.0000003368,0.0000000280,-0.0000003000,-0.0000008924,-0.0000009078,0.3329482261,0.0059875765,0.5544928412
25,-0.0000001875,-0.0000009530,0.0000000162,-0.0000002768,-0.0000001279,0.0000005715,0.3314673604,0.0059518008,0.5561875133
26,-0.0000002251,0.0000001867,0.0000000856,-0.0000002581,-0.0000014344,-0.0000010252,0.3305700459,0.0059354693,0.5571844836
27,0.0000008755,-0.0000012482,0.0000000068,-0.0000003248,0.0000000613,-0.0000008775,0.3302629088,0.0059314380,0.5575115243
28,0.0000025494,0.0000010987,0.0000000625,-0.0000001664,-0.0000005098,-0.0000021227,0.3303068587,0.0059314255,0.5574700224
29,0.0000000385,0.0000008046,0.0000000608,-0.0000002266,-0.0000003172,0.0000012485,0.3303268428,0.0059294129,0.5574361072
30,-0.0000016106,0.0000002580,-0.0000000075,-0.0000001851,-0.0000010738,-0.0000006441,0.3302933068,0.0059273066,0.5574792214
31,0.0000001988,0.0000011676,0.0000000681,-0.0000001760,-0.0000007746,-0.0000000880,0.3302599521,0.0059204377,0.5575537574
32,0.0000001127,-0.0000001941,0.0000000072,-0.0000002843,-0.0000004263,-0.0000005313,0.3305556689,0.0059239128,0.5571816964
