MSPTI,error_mspti,MiniPTI,error_minipti
1.39E+03,8.46E+01,1.09E+03,2.63E+02
1.53E+03,3.06E+01,9.86E+02,9.13E+01
1.56E+03,2.25E+01,1.02E+03,6.23E+01
6.49E+02,8.51E+01,4.83E+02,1.06E+02
5.73E+02,1.95E+01,3.47E+02,1.01E+02
6.03E+02,1.78E+01,3.38E+02,7.32E+01
5.82E+02,1.47E+01,3.14E+02,5.95E+01
6.17E+02,1.26E+01,3.65E+02,1.39E+02
6.28E+02,1.57E+01,3.73E+02,1.01E+02
1.30E+03,1.11E+02,9.44E+02,2.14E+02
1.52E+03,2.57E+01,8.09E+02,1.01E+02
1.20E+03,4.13E+02,7.77E+02,5.43E+02
9.85E+01,4.27E+01,2.55E+01,8.32E+01
4.84E+01,1.06E+01,1.02E+02,1.44E+02
1.07E+02,5.61E+00,3.82E+01,1.29E+02
1.22E+02,5.63E+00,1.53E+02,1.31E+02
1.14E+02,1.82E+01,1.65E+02,8.35E+01
1.44E+02,5.16E+01,4.73E+01,8.02E+01
3.58E+02,1.38E+01,1.35E+02,8.94E+01
3.39E+02,9.23E+01,8.14E+01,7.92E+01
7.63E+02,3.48E+01,3.49E+02,1.15E+02
9.55E+02,2.66E+01,4.99E+02,8.10E+01
9.07E+02,1.31E+01,3.43E+02,1.05E+02
9.43E+02,1.71E+01,4.05E+02,2.94E+02
3.77E+03,2.85E+02,2.15E+03,2.19E+02
4.89E+03,7.19E+01,2.82E+03,1.36E+02
5.22E+03,5.14E+01,3.19E+03,7.60E+01
5.29E+03,4.96E+01,3.39E+03,8.31E+01
6.27E+03,2.77E+02,4.07E+03,2.09E+02
7.34E+03,1.92E+02,4.77E+03,1.95E+02
7.84E+03,4.35E+01,5.50E+03,1.78E+02
1.03E+03,6.71E+01,5.77E+02,1.22E+02
1.11E+03,1.66E+01,6.26E+02,9.66E+01
1.14E+03,2.21E+01,6.79E+02,7.18E+01
1.19E+03,4.59E+01,6.85E+02,7.46E+01
1.38E+03,2.42E+01,7.61E+02,1.17E+02
1.39E+03,2.26E+01,7.76E+02,8.30E+01
1.54E+03,2.21E+01,8.76E+02,9.03E+01
1.68E+03,8.11E+01,8.77E+02,8.61E+01
1.79E+03,2.12E+01,7.86E+02,1.32E+02
1.82E+03,1.79E+01,8.71E+02,1.29E+02
1.04E+03,3.90E+01,5.07E+02,1.07E+02
9.78E+02,1.93E+01,4.74E+02,9.18E+01
6.88E+02,5.14E+01,3.46E+02,1.25E+02
6.21E+02,1.30E+01,2.45E+02,1.17E+02
6.28E+02,1.01E+01,3.00E+02,9.33E+01
6.91E+02,9.69E+00,3.27E+02,5.93E+01
6.45E+02,2.75E+01,3.12E+02,8.35E+01
5.63E+02,1.10E+01,3.68E+02,8.81E+01
5.80E+02,1.39E+01,3.71E+02,1.02E+02
3.43E+03,8.51E+01,1.65E+03,2.21E+02
3.87E+03,4.43E+01,2.15E+03,3.02E+02
1.86E+03,3.37E+02,1.06E+03,2.90E+02
