Heating,Detector 1,Detector 2,Detector 3,
0.5,0.323986,0.316607,0.238316,
0.505247,0.323673,0.316919,0.238941,
0.510495,0.32211,0.316607,0.241441,
0.515742,0.318672,0.316919,0.244566,
0.52099,0.314922,0.315981,0.249565,
0.526237,0.308984,0.315356,0.256439,
0.531484,0.302108,0.314419,0.263626,
0.536732,0.295232,0.313481,0.273,
0.541979,0.286793,0.312231,0.283312,
0.547226,0.278354,0.309731,0.295185,
0.552474,0.268978,0.307856,0.307059,
0.557721,0.258976,0.304731,0.320183,
0.562969,0.24835,0.301919,0.334869,
0.568216,0.237723,0.298794,0.35018,
0.573463,0.225847,0.294106,0.367053,
0.578711,0.214283,0.289731,0.385488,
0.583958,0.202719,0.284106,0.402674,
0.589205,0.190529,0.278168,0.42111,
0.594453,0.178965,0.271918,0.440795,
0.5997,0.168026,0.264731,0.459856,
0.604948,0.156775,0.256293,0.479541,
0.610195,0.146461,0.24848,0.498914,
0.615442,0.137084,0.240043,0.517974,
0.62069,0.127395,0.230667,0.53766,
0.625937,0.118957,0.220355,0.557033,
0.631184,0.110831,0.209729,0.576093,
0.636432,0.104267,0.199417,0.594529,
0.641679,0.0977037,0.188479,0.61234,
0.646927,0.0936406,0.177229,0.627963,
0.652174,0.089265,0.164729,0.644211,
0.657421,0.0873898,0.152853,0.658585,
0.662669,0.0864521,0.141603,0.671396,
0.667916,0.0867647,0.129728,0.682957,
0.673163,0.0889525,0.117853,0.693269,
0.678411,0.0920779,0.105352,0.700768,
0.683658,0.0970786,0.0950398,0.706705,
0.688906,0.103955,0.084102,0.710454,
0.694153,0.111456,0.0734768,0.712954,
0.6994,0.121457,0.0631641,0.712329,
0.704648,0.133021,0.053789,0.710142,
0.709895,0.14521,0.0453513,0.704205,
0.715142,0.159275,0.0372262,0.697956,
0.72039,0.175527,0.0300385,0.688582,
0.725637,0.193342,0.0231634,0.676083,
0.730885,0.212407,0.0172258,0.661397,
