Interferometric Phase;PTI;R1;R2;R3;System_Phase_1;System_Phase_2;System_Phase_3
-0.989248;-1.09053e-05;5.38619e-06;1.4197e-05;3.23579e-06;1.39415;1.38708;1.38624
3.06532;1.74882e-05;7.30176e-06;1.89948e-05;4.39676e-06;1.60159;1.58373;1.64412
-2.9224;7.08161e-06;7.8719e-06;2.05463e-05;4.63814e-06;1.90856;1.90923;1.95245
-2.89723;-6.9287e-07;1.69144e-07;3.01762e-07;8.15563e-07;1.4598;-0.334122;1.05794
-2.87705;-8.25377e-07;1.84588e-07;1.84095e-07;6.87037e-07;1.58263;-1.02974;1.52437
2.8264;-6.09677e-07;2.35988e-07;4.44996e-07;5.9604e-07;1.64047;-1.80943;2.07447
2.83879;-7.731e-07;2.7177e-07;2.9764e-07;1.03486e-06;1.82027;-2.23809;2.24992
2.85711;-8.31491e-07;2.85568e-07;2.39423e-07;1.01621e-06;1.96902;-1.56104;2.33717
-2.80144;-1.58386e-06;3.3286e-07;2.98699e-07;1.20297e-06;1.9161;-1.68985;2.32359
-2.74596;-1.78079e-06;3.86096e-07;4.58172e-07;1.34856e-06;1.8206;-1.89166;2.33778
-2.7374;-1.63671e-06;4.04348e-07;7.7296e-07;9.88105e-07;1.73317;-1.84129;2.4247
-2.72915;-1.6966e-06;4.03821e-07;8.26939e-07;1.29005e-06;1.80287;-2.09448;2.62273
-2.72131;-1.60143e-06;3.89904e-07;9.59607e-07;1.46643e-06;1.74237;-2.34516;2.71186
-2.71397;-2.31553e-06;5.70782e-07;9.568e-07;1.53049e-06;1.69518;-1.93545;2.2581
-2.70722;-1.46732e-06;4.11273e-07;7.0532e-07;1.04063e-06;1.48151;-2.13034;2.10952
-2.70113;-1.63138e-06;4.42708e-07;4.58221e-07;1.31604e-06;1.42377;-1.47393;1.55524
-2.69579;-1.53095e-06;4.26554e-07;8.05756e-07;9.73402e-07;1.34757;-1.47938;1.40732
-2.69127;-1.66711e-06;4.54547e-07;6.67163e-07;1.33397e-06;1.34636;-1.66756;1.47873
-2.68764;-1.53324e-06;4.35749e-07;9.66066e-07;9.37161e-07;1.3251;-1.80643;1.57341
-2.6849;-1.47069e-06;3.878e-07;9.72255e-07;7.98826e-07;1.38548;-1.83437;1.7816
-2.68301;-1.72718e-06;3.83492e-07;5.28565e-07;1.39112e-06;1.50581;-1.92698;1.82689
-2.68195;-1.64587e-06;3.77095e-07;8.15272e-07;1.10346e-06;1.51705;-1.95034;1.97678
-2.68167;-1.67657e-06;3.8423e-07;9.74424e-07;9.75461e-07;1.56203;-1.89823;2.16023
-2.68212;-1.12512e-06;2.25893e-07;6.36495e-07;7.90109e-07;1.7464;-1.99519;2.58168
-2.68328;-2.04515e-06;4.13915e-07;9.42441e-07;1.39351e-06;2.00977;-1.86575;2.56838
-2.68505;-1.97322e-06;4.20613e-07;8.64314e-07;1.45707e-06;2.04968;-1.94528;2.63852
-2.68732;-2.0642e-06;4.66647e-07;1.04748e-06;1.8133e-06;2.16783;-2.13494;2.82979
-2.68998;-1.95178e-06;4.50222e-07;1.48443e-06;2.32407e-06;2.20081;-2.33399;3.06497
-2.69295;-2.28785e-06;5.20397e-07;9.46036e-07;2.37137e-06;2.10984;-2.63399;2.6286
-2.69617;-2.25328e-06;5.09419e-07;8.78752e-07;2.37925e-06;2.16718;-2.66358;2.64544
-2.69955;-2.09552e-06;4.83129e-07;1.06023e-06;2.27904e-06;2.15213;-2.61328;2.71963
