i;DC1;DC2;DC3;X1;Y1;X2;Y2;X3;Y3
0;0.005430695;0.0660292;0.09705303;9.46493E-07;5.30238E-06;2.59352E-06;1.39581E-05;5.93817E-07;3.18084E-06
1;0.01104089;0.1315625;0.1944227;-2.24811E-07;7.2983E-06;-2.45648E-07;1.89932E-05;-3.22087E-07;4.38495E-06
2;0.01683405;0.1965879;0.2920974;-2.60861E-06;7.42711E-06;-6.82164E-06;1.93808E-05;-1.72752E-06;4.30442E-06
3;0.02281785;0.2611028;0.3900832;1.87356E-08;1.68103E-07;2.85074E-07;-9.89596E-08;4.00172E-07;7.10637E-07
4;0.029006;0.3250868;0.4883911;-2.18357E-09;1.84575E-07;9.48165E-08;-1.578E-07;3.1887E-08;6.86297E-07
5;0.03540142;0.3885412;0.5870121;-1.64297E-08;2.35415E-07;-1.05188E-07;-4.32385E-07;-2.87679E-07;5.2202E-07
6;0.04200129;0.45148;0.685925;-6.70977E-08;2.63357E-07;-1.84198E-07;-2.33796E-07;-6.50009E-07;8.05244E-07
7;0.04880462;0.5139136;0.7851299;-1.10737E-07;2.63223E-07;2.33671E-09;-2.39412E-07;-7.04773E-07;7.32111E-07
8;0.05580584;0.5758661;0.8846079;-1.12666E-07;3.13213E-07;-3.54761E-08;-2.96585E-07;-8.22443E-07;8.77908E-07
9;0.0629975;0.6373705;0.9843445;-9.54477E-08;3.74112E-07;-1.445E-07;-4.34789E-07;-9.35852E-07;9.70975E-07
10;0.06492605;0.6324529;0.9872453;-6.53682E-08;3.99029E-07;-2.06542E-07;-7.44854E-07;-7.44887E-07;6.49226E-07
11;0.06681573;0.6277103;0.9900098;-9.28776E-08;3.92995E-07;-4.13533E-07;-7.16114E-07;-1.12026E-06;6.39733E-07
12;0.06863891;0.6232049;0.9926124;-6.65706E-08;3.84179E-07;-6.71017E-07;-6.8599E-07;-1.3331E-06;6.10951E-07
13;0.07036922;0.6189915;0.9950271;-7.08105E-08;5.66373E-07;-3.41223E-07;-8.93886E-07;-9.71021E-07;1.18301E-06
14;0.07197944;0.6151184;0.9972263;3.66731E-08;4.09635E-07;-3.74385E-07;-5.97756E-07;-5.33886E-07;8.93241E-07
15;0.07344679;0.6116308;0.9991937;6.48536E-08;4.37932E-07;4.4316E-08;-4.56073E-07;2.04672E-08;1.31588E-06
16;0.07474882;0.6085692;1.000912;9.44296E-08;4.1597E-07;7.35555E-08;-8.02392E-07;1.58424E-07;9.60423E-07
